TEMPORADA;AÑO;JORNADA;Real Madrid CF;EQUIPO Contrario;Gol Madrid;Gol V;Victoria RM;Localia
2021-2022;2021;01.;Real Madrid CF;CD Alavés;4;1;V;no
2021-2022;2021;02.;Real Madrid CF;Levante UD;3;3;E;no
2021-2022;2021;03.;Real Madrid CF;Real Betis Balompié;1;0;V;no
2021-2022;2021;04.;Real Madrid CF;RC Celta;5;2;V;si
2021-2022;2021;05.;Real Madrid CF;Valencia CF;2;1;V;no
2021-2022;2021;06.;Real Madrid CF;RCD Mallorca;6;1;V;si
2021-2022;2021;07.;Real Madrid CF;Villarreal CF;0;0;E;si
2021-2022;2021;08.;Real Madrid CF;RCD Espanyol;1;2;D;no
2021-2022;2021;09.;Real Madrid CF;Athletic Club de Bilbao;1;0;V;si
2021-2022;2021;10.;Real Madrid CF;FC Barcelona;2;1;V;no
2021-2022;2021;11.;Real Madrid CF;CA Osasuna;0;0;E;si
2021-2022;2021;12.;Real Madrid CF;Elche CF;2;1;V;no
2021-2022;2021;13.;Real Madrid CF;Rayo Vallecano;2;1;V;si
2021-2022;2021;14.;Real Madrid CF;Granada CF;4;1;V;no
2021-2022;2021;15.;Real Madrid CF;Sevilla FC;2;1;V;si
2021-2022;2021;16.;Real Madrid CF;Real Sociedad de Fútbol;2;0;V;no
2021-2022;2021;17.;Real Madrid CF;Club Atlético de Madrid;2;0;V;si
2021-2022;2021;18.;Real Madrid CF;Cádiz CF;0;0;E;si
2021-2022;2022;19.;Real Madrid CF;Getafe CF;0;1;D;no
2021-2022;2022;20.;Real Madrid CF;Valencia CF;4;1;V;si
2021-2022;2022;21.;Real Madrid CF;Athletic Club de Bilbao;2;1;V;no
2021-2022;2022;22.;Real Madrid CF;Elche CF;2;2;E;si
2021-2022;2022;23.;Real Madrid CF;Granada CF;1;0;V;si
2021-2022;2022;24.;Real Madrid CF;Villarreal CF;0;0;E;no
2021-2022;2022;25.;Real Madrid CF;CD Alavés;3;0;V;si
2021-2022;2022;26.;Real Madrid CF;Rayo Vallecano;1;0;V;no
2021-2022;2022;27.;Real Madrid CF;Real Sociedad de Fútbol;4;1;V;si
2021-2022;2022;28.;Real Madrid CF;RCD Mallorca;3;0;V;no
2021-2022;2022;29.;Real Madrid CF;FC Barcelona;0;4;D;si
2021-2022;2022;30.;Real Madrid CF;RC Celta;2;1;V;no
2021-2022;2022;31.;Real Madrid CF;Getafe CF;2;0;V;si
2021-2022;2022;32.;Real Madrid CF;Sevilla FC;3;2;V;no
